"ID","Series","First Name","Last Name","Full Name","Gender","Date of Joining","Date of Birth","Status","Company","Holiday List","Salary Currency"
HR-EMP-00025,HR-EMP-,Rakotondrabe,Andry,Rakotondrabe Andry,Male,2023-01-15,1985-01-01,Active,My Company,Jour Ferié,EUR
HR-EMP-00026,HR-EMP-,Razafindrakoto,Mireille,Razafindrakoto Mireille,Female,2023-03-01,1990-05-15,Active,My Company,Jour Ferié,EUR
HR-EMP-00027,HR-EMP-,Randriamampionona,Jean-Pierre,Randriamampionona Jean-Pierre,Male,2023-06-10,1988-08-20,Active,My Company,Jour Ferié,EUR
HR-EMP-00028,HR-EMP-,Rakotomalala,Sarah,Rakotomalala Sarah,Female,2023-09-05,1992-03-12,Active,My Company,Jour Ferié,EUR
HR-EMP-00029,HR-EMP-,Ratsimba,Patrick,Ratsimba Patrick,Male,2023-11-20,1987-07-30,Active,My Company,Jour Ferié,EUR
HR-EMP-00030,HR-EMP-,Razafy,Nathalie,Razafy Nathalie,Female,2024-01-15,1995-04-25,Active,My Company,Jour Ferié,EUR
HR-EMP-00031,HR-EMP-,Randrianarisoa,David,Randrianarisoa David,Male,2024-02-01,1991-09-18,Active,My Company,Jour Ferié,EUR
HR-EMP-00032,HR-EMP-,Rakotondrabe,Sandra,Rakotondrabe Sandra,Female,2024-03-10,1993-12-05,Active,My Company,Jour Ferié,EUR
HR-EMP-00033,HR-EMP-,Razafindrakoto,Thomas,Razafindrakoto Thomas,Male,2024-04-20,1989-06-22,Active,My Company,Jour Ferié,EUR
HR-EMP-00034,HR-EMP-,Randriamampionona,Marie,Randriamampionona Marie,Female,2024-05-01,1994-02-14,Active,My Company,Jour Ferié,EUR
HR-EMP-00035,HR-EMP-,Rakotomalala,Paul,Rakotomalala Paul,Male,2024-06-15,1986-11-08,Active,My Company,Jour Ferié,EUR
HR-EMP-00036,HR-EMP-,Ratsimba,Claire,Ratsimba Claire,Female,2024-07-01,1996-03-27,Active,My Company,Jour Ferié,EUR
