"ID","Employee","Salary Structure","From Date","Company","Currency","Employee Name","Base","Payroll Payable Account"
,HR-EMP-00001,gasy1,2024-04-04,My Company,EUR,Rakoto Alain,1400000.0,Payroll Payable - MC
,HR-EMP-00001,gasy1,2024-05-01,My Company,EUR,Rakoto Alain,1470000.0,Payroll Payable - MC
,HR-EMP-00001,gasy1,2024-06-01,My Company,EUR,Rakoto Alain,1396500.0,Payroll Payable - MC
,HR-EMP-00002,gasy1,2024-06-10,My Company,EUR,Rasoa Jeanne,900000.0,Payroll Payable - MC
,HR-EMP-00001,gasy1,2024-07-01,My Company,EUR,Rakoto Alain,1466325.0,Payroll Payable - MC
,HR-EMP-00002,gasy1,2024-07-01,My Company,EUR,Rasoa Jeanne,900000.0,Payroll Payable - MC
,HR-EMP-00001,gasy1,2024-08-01,My Company,EUR,Rakoto Alain,1539641.0,Payroll Payable - MC
,HR-EMP-00002,gasy1,2024-08-01,My Company,EUR,Rasoa Jeanne,900000.0,Payroll Payable - MC
,HR-EMP-00001,gasy1,2024-09-01,My Company,EUR,Rakoto Alain,1462659.0,Payroll Payable - MC
,HR-EMP-00002,gasy1,2024-09-01,My Company,EUR,Rasoa Jeanne,900000.0,Payroll Payable - MC
,HR-EMP-00001,gasy1,2024-10-01,My Company,EUR,Rakoto Alain,1535792.0,Payroll Payable - MC
,HR-EMP-00002,gasy1,2024-10-01,My Company,EUR,Rasoa Jeanne,900000.0,Payroll Payable - MC
,HR-EMP-00001,gasy1,2024-11-01,My Company,EUR,Rakoto Alain,1612581.0,Payroll Payable - MC
,HR-EMP-00002,gasy1,2024-11-01,My Company,EUR,Rasoa Jeanne,900000.0,Payroll Payable - MC
,HR-EMP-00001,gasy1,2024-12-01,My Company,EUR,Rakoto Alain,1531952.0,Payroll Payable - MC
,HR-EMP-00002,gasy1,2024-12-01,My Company,EUR,Rasoa Jeanne,950000.0,Payroll Payable - MC
,HR-EMP-00001,gasy1,2025-01-01,My Company,EUR,Rakoto Alain,1608550.0,Payroll Payable - MC
,HR-EMP-00002,gasy1,2025-01-01,My Company,EUR,Rasoa Jeanne,950000.0,Payroll Payable - MC
,HR-EMP-00001,gasy1,2025-02-01,My Company,EUR,Rakoto Alain,1528122.0,Payroll Payable - MC
,HR-EMP-00002,gasy1,2025-02-01,My Company,EUR,Rasoa Jeanne,950000.0,Payroll Payable - MC
,HR-EMP-00001,gasy1,2025-03-01,My Company,EUR,Rakoto Alain,1600000.0,Payroll Payable - MC
,HR-EMP-00002,gasy1,2025-03-01,My Company,EUR,Rasoa Jeanne,950000.0,Payroll Payable - MC
,HR-EMP-00001,gasy1,2025-04-01,My Company,EUR,Rakoto Alain,1500000.0,Payroll Payable - MC
,HR-EMP-00002,gasy1,2025-04-01,My Company,EUR,Rasoa Jeanne,900000.0,Payroll Payable - MC
,HR-EMP-00001,gasy1,2025-05-01,My Company,EUR,Rakoto Alain,1575000.0,Payroll Payable - MC
,HR-EMP-00002,gasy1,2025-05-01,My Company,EUR,Rasoa Jeanne,900000.0,Payroll Payable - MC
,HR-EMP-00001,gasy1,2025-06-01,My Company,EUR,Rakoto Alain,1496250.0,Payroll Payable - MC
,HR-EMP-00002,gasy1,2025-06-01,My Company,EUR,Rasoa Jeanne,900000.0,Payroll Payable - MC
